,precision,recall,f1-score,support
Brandon Boston Jr.,0.0,0.0,0.0,1.0
Brandon Clarke,0.0,0.0,0.0,2.0
Brandon Davies,0.0,0.0,0.0,0.0
Brandon Goodwin,0.0,0.0,0.0,0.0
Brandon Ingram,0.5,0.2,0.28571428571428575,5.0
Brandon Jennings,0.0,0.0,0.0,1.0
Brandon Knight,0.0,0.0,0.0,2.0
Brandon Paul,0.0,0.0,0.0,0.0
Brandon Rush,0.0,0.0,0.0,2.0
Brandon Sampson,0.0,0.0,0.0,0.0
Brandon Williams,0.0,0.0,0.0,0.0
Braxton Key,0.0,0.0,0.0,0.0
Brian Bowen II,0.0,0.0,0.0,1.0
Brian Roberts,0.25,1.0,0.4,1.0
Briante Weber,0.0,0.0,0.0,0.0
Brice Johnson,0.0,0.0,0.0,0.0
Brodric Thomas,0.0,0.0,0.0,1.0
Brook Lopez,0.25,0.5,0.3333333333333333,4.0
Bruce Brown,0.0,0.0,0.0,2.0
Bruno Caboclo,0.0,0.0,0.0,1.0
Bruno Fernando,0.0,0.0,0.0,2.0
Bryce Cotton,0.0,0.0,0.0,1.0
Bryce Dejean-Jones,0.0,0.0,0.0,1.0
Bryce McGowens,0.0,0.0,0.0,0.0
Bryn Forbes,0.0,0.0,0.0,0.0
Buddy Boeheim,0.0,0.0,0.0,1.0
Buddy Hield,0.2,1.0,0.33333333333333337,2.0
Byron Mullens,0.0,0.0,0.0,1.0
C.J. Watson,0.0,0.0,0.0,3.0
C.J. Wilcox,0.0,0.0,0.0,0.0
CJ Elleby,0.0,0.0,0.0,1.0
CJ McCollum,0.0,0.0,0.0,4.0
CJ Miles,0.0,0.0,0.0,3.0
Cade Cunningham,0.0,0.0,0.0,0.0
Caleb Houstan,0.0,0.0,0.0,1.0
Caleb Martin,0.0,0.0,0.0,0.0
Caleb Swanigan,0.0,0.0,0.0,0.0
Cam Reddish,0.0,0.0,0.0,3.0
Cam Reynolds,0.0,0.0,0.0,0.0
Cam Thomas,0.0,0.0,0.0,2.0
Cameron Bairstow,0.0,0.0,0.0,0.0
Cameron Johnson,0.0,0.0,0.0,2.0
Cameron McGriff,0.0,0.0,0.0,0.0
Cameron Oliver,0.0,0.0,0.0,0.0
Cameron Payne,0.0,0.0,0.0,1.0
Caris LeVert,0.14285714285714285,0.5,0.22222222222222224,2.0
Carl Landry,0.0,0.0,0.0,2.0
Carlik Jones,0.0,0.0,0.0,1.0
Carlos Boozer,0.0,0.0,0.0,0.0
Carlos Delfino,0.0,0.0,0.0,1.0
Carmelo Anthony,0.0,0.0,0.0,4.0
Caron Butler,0.0,0.0,0.0,1.0
Carrick Felix,0.0,0.0,0.0,1.0
Carsen Edwards,0.0,0.0,0.0,2.0
Cartier Martin,0.0,0.0,0.0,1.0
Casper Ware,0.0,0.0,0.0,0.0
Cassius Stanley,0.0,0.0,0.0,1.0
Cassius Winston,0.0,0.0,0.0,0.0
Cedi Osman,0.0,0.0,0.0,2.0
Chandler Hutchison,0.0,0.0,0.0,1.0
Chandler Parsons,0.16666666666666666,0.25,0.2,4.0
Channing Frye,0.3333333333333333,1.0,0.5,1.0
Charles Bassey,0.0,0.0,0.0,0.0
Charles Cooke,0.0,0.0,0.0,1.0
Charlie Brown Jr.,0.0,0.0,0.0,1.0
Charlie Villanueva,0.0,0.0,0.0,0.0
Chase Budinger,0.0,0.0,0.0,1.0
Chasson Randle,0.0,0.0,0.0,3.0
Chauncey Billups,0.0,0.0,0.0,1.0
Chaundee Brown Jr.,0.0,0.0,0.0,1.0
Cheick Diallo,0.0,0.0,0.0,2.0
Chimezie Metu,0.0,0.0,0.0,1.0
Chinanu Onuaku,0.0,0.0,0.0,1.0
Chris Andersen,0.0,0.0,0.0,1.0
Chris Bosh,0.3333333333333333,1.0,0.5,1.0
Chris Boucher,0.0,0.0,0.0,1.0
Chris Chiozza,0.0,0.0,0.0,1.0
Chris Copeland,0.0,0.0,0.0,1.0
Chris Douglas-Roberts,0.0,0.0,0.0,1.0
Chris Duarte,0.0,0.0,0.0,0.0
Chris Duhon,0.0,0.0,0.0,0.0
Chris Johnson,0.0,0.0,0.0,2.0
Chris Kaman,0.0,0.0,0.0,2.0
Chris McCullough,0.0,0.0,0.0,0.0
Chris Paul,0.6,1.0,0.7499999999999999,3.0
Chris Quinn,0.0,0.0,0.0,0.0
Chris Silva,0.0,0.0,0.0,1.0
Chris Singleton,0.0,0.0,0.0,0.0
Chris Wright,0.0,0.0,0.0,1.0
Christian Braun,0.0,0.0,0.0,0.0
Christian Wood,0.0,0.0,0.0,1.0
Chuck Hayes,0.0,0.0,0.0,4.0
Chuma Okeke,0.0,0.0,0.0,0.0
Cleanthony Early,0.0,0.0,0.0,0.0
Cliff Alexander,0.0,0.0,0.0,1.0
Clint Capela,0.14285714285714285,1.0,0.25,1.0
Coby White,0.0,0.0,0.0,2.0
Cody Martin,0.0,0.0,0.0,2.0
Cody Zeller,0.3333333333333333,0.25,0.28571428571428575,4.0
Cole Aldrich,0.0,0.0,0.0,3.0
Cole Anthony,0.0,0.0,0.0,1.0
Cole Swider,0.0,0.0,0.0,1.0
Collin Sexton,0.3333333333333333,0.5,0.4,2.0
Corey Brewer,0.0,0.0,0.0,2.0
Corey Kispert,0.0,0.0,0.0,1.0
Cory Higgins,0.0,0.0,0.0,0.0
Cory Jefferson,0.0,0.0,0.0,1.0
Cory Joseph,0.0,0.0,0.0,3.0
Coty Clarke,0.0,0.0,0.0,1.0
Courtney Lee,0.25,0.6666666666666666,0.36363636363636365,3.0
Craig Sword,0.0,0.0,0.0,0.0
Cristiano Felicio,0.0,0.0,0.0,1.0
D'Angelo Russell,0.5,0.3333333333333333,0.4,3.0
D.J. Augustin,0.0,0.0,0.0,5.0
D.J. Wilson,0.0,0.0,0.0,3.0
DJ Stephens,0.0,0.0,0.0,0.0
DJ White,0.0,0.0,0.0,0.0
DaJuan Summers,0.0,0.0,0.0,0.0
DaQuan Jeffries,0.0,0.0,0.0,1.0
Dahntay Jones,0.0,0.0,0.0,1.0
Dairis Bertans,0.0,0.0,0.0,1.0
Dakota Mathias,0.0,0.0,0.0,1.0
Damian Jones,0.0,0.0,0.0,3.0
Damian Lillard,0.5,0.6666666666666666,0.5714285714285715,3.0
Damien Inglis,0.0,0.0,0.0,0.0
Damien Wilkins,0.0,0.0,0.0,0.0
Damion James,0.0,0.0,0.0,0.0
Damion Lee,0.0,0.0,0.0,3.0
Damjan Rudez,0.0,0.0,0.0,1.0
Damyean Dotson,0.125,1.0,0.2222222222222222,1.0
Daniel Gafford,0.3333333333333333,0.5,0.4,2.0
Daniel Hamilton,0.0,0.0,0.0,1.0
Daniel Orton,0.0,0.0,0.0,1.0
Daniel Oturu,0.0,0.0,0.0,1.0
Daniel Theis,0.0,0.0,0.0,1.0
Danilo Gallinari,0.0,0.0,0.0,5.0
Danny Granger,0.0,0.0,0.0,0.0
Danny Green,0.5,0.5,0.5,4.0
Dante Cunningham,0.0,0.0,0.0,3.0
Dante Exum,0.0,0.0,0.0,2.0
Danuel House Jr.,0.0,0.0,0.0,2.0
Dario Saric,0.0,0.0,0.0,1.0
Darius Bazley,0.0,0.0,0.0,1.0
Darius Days,0.0,0.0,0.0,0.0
Darius Garland,0.5,1.0,0.6666666666666666,2.0
Darius Johnson-Odom,0.0,0.0,0.0,0.0
Darius Miller,0.0,0.0,0.0,3.0
Darius Morris,0.0,0.0,0.0,1.0
Darko Milicic,0.0,0.0,0.0,0.0
Darrell Arthur,0.0,0.0,0.0,0.0
Darren Collison,0.2222222222222222,0.6666666666666666,0.3333333333333333,3.0
Darrun Hilliard,0.0,0.0,0.0,0.0
Daryl Macon,0.0,0.0,0.0,0.0
David Duke Jr.,0.0,0.0,0.0,1.0
David Lee,0.0,0.0,0.0,1.0
David Nwaba,0.0,0.0,0.0,2.0
David Roddy,0.0,0.0,0.0,1.0
David Stockton,0.0,0.0,0.0,1.0
David West,0.3333333333333333,1.0,0.5,1.0
Davis Bertans,0.0,0.0,0.0,2.0
Davon Reed,0.0,0.0,0.0,1.0
Day'Ron Sharpe,0.0,0.0,0.0,1.0
De'Aaron Fox,0.25,0.5,0.3333333333333333,2.0
De'Andre Hunter,0.0,0.0,0.0,3.0
De'Anthony Melton,0.0,0.0,0.0,0.0
DeAndre Jordan,0.4,0.4,0.4000000000000001,5.0
DeAndre Liggins,0.5,0.3333333333333333,0.4,3.0
DeAndre' Bembry,0.0,0.0,0.0,1.0
DeJon Jarreau,0.0,0.0,0.0,1.0
DeJuan Blair,0.0,0.0,0.0,0.0
DeMar DeRozan,0.0,0.0,0.0,3.0
DeMarcus Cousins,0.0,0.0,0.0,2.0
DeMarre Carroll,0.0,0.0,0.0,2.0
DeQuan Jones,0.0,0.0,0.0,1.0
Dean Wade,0.0,0.0,0.0,0.0
Deandre Ayton,0.0,0.0,0.0,1.0
Deividas Sirvydis,0.0,0.0,0.0,1.0
Dejounte Murray,0.0,0.0,0.0,0.0
Delon Wright,0.5,0.2,0.28571428571428575,5.0
Demetrius Jackson,0.0,0.0,0.0,1.0
Deng Adel,0.0,0.0,0.0,0.0
Deni Avdija,0.0,0.0,0.0,2.0
Dennis Schroder,0.14285714285714285,0.3333333333333333,0.2,3.0
Dennis Smith Jr.,0.0,0.0,0.0,3.0
Denzel Valentine,0.0,0.0,0.0,0.0
Deonte Burton,0.0,0.0,0.0,1.0
Derek Fisher,0.0,0.0,0.0,1.0
Dereon Seabron,0.0,0.0,0.0,0.0
Deron Williams,0.0,0.0,0.0,1.0
Derrick Favors,0.125,0.2,0.15384615384615385,5.0
Derrick Jones Jr.,0.5,0.4,0.4444444444444445,5.0
Derrick Rose,0.0,0.0,0.0,4.0
Derrick Walton Jr.,0.0,0.0,0.0,1.0
Derrick White,0.0,0.0,0.0,3.0
Derrick Williams,0.0,0.0,0.0,4.0
Desmond Bane,0.0,0.0,0.0,2.0
Devin Booker,0.3333333333333333,0.3333333333333333,0.3333333333333333,3.0
Devin Cannady,0.0,0.0,0.0,1.0
Devin Ebanks,0.0,0.0,0.0,0.0
Devin Harris,0.1,1.0,0.18181818181818182,1.0
Devin Robinson,0.0,0.0,0.0,1.0
Devin Vassell,0.0,0.0,0.0,1.0
Devon Dotson,0.0,0.0,0.0,1.0
Devon Hall,0.0,0.0,0.0,0.0
Devontae Cacok,0.0,0.0,0.0,1.0
Devonte' Graham,0.0,0.0,0.0,1.0
Devyn Marble,0.0,0.0,0.0,1.0
Dewan Hernandez,0.0,0.0,0.0,1.0
Dewayne Dedmon,0.0,0.0,0.0,3.0
Deyonta Davis,0.0,0.0,0.0,0.0
Didi Louzada,0.0,0.0,0.0,1.0
Dillon Brooks,0.0,0.0,0.0,4.0
Dion Waiters,0.0,0.0,0.0,3.0
Dionte Christmas,0.0,0.0,0.0,0.0
Dirk Nowitzki,0.5,1.0,0.6666666666666666,1.0
Domantas Sabonis,0.4,0.6666666666666666,0.5,3.0
Donald Sloan,0.0,0.0,0.0,1.0
Donatas Motiejunas,0.0,0.0,0.0,1.0
Donovan Mitchell,0.0,0.0,0.0,2.0
Donta Hall,0.0,0.0,0.0,1.0
Donte DiVincenzo,0.0,0.0,0.0,1.0
Donte Grantham,0.0,0.0,0.0,0.0
Dorell Wright,0.0,0.0,0.0,0.0
Dorian Finney-Smith,0.0,0.0,0.0,2.0
Doron Lamb,0.0,0.0,0.0,1.0
Doug McDermott,0.0,0.0,0.0,3.0
Dragan Bender,0.0,0.0,0.0,2.0
Draymond Green,1.0,0.5,0.6666666666666666,4.0
Drew Eubanks,0.0,0.0,0.0,2.0
Drew Gooden,0.0,0.0,0.0,1.0
Drew Gordon,0.0,0.0,0.0,1.0
Dru Smith,0.0,0.0,0.0,0.0
Duane Washington Jr.,0.0,0.0,0.0,0.0
Duncan Robinson,0.0,0.0,0.0,0.0
Dwayne Bacon,0.0,0.0,0.0,1.0
Dwight Buycks,0.0,0.0,0.0,2.0
Dwight Howard,0.25,0.5,0.3333333333333333,2.0
Dwight Powell,0.0,0.0,0.0,0.0
Dwyane Wade,0.0,0.0,0.0,1.0
Dylan Windler,0.0,0.0,0.0,0.0
Dyson Daniels,0.0,0.0,0.0,1.0
Dzanan Musa,0.0,0.0,0.0,1.0
E'Twaun Moore,0.0,0.0,0.0,0.0
Earl Barron,0.0,0.0,0.0,0.0
Earl Clark,0.0,0.0,0.0,1.0
Ed Davis,0.16666666666666666,0.3333333333333333,0.2222222222222222,3.0
Edmond Sumner,0.0,0.0,0.0,1.0
Edy Tavares,0.0,0.0,0.0,0.0
Ekpe Udoh,0.0,0.0,0.0,4.0
Elfrid Payton,0.0,0.0,0.0,6.0
Elie Okobo,0.0,0.0,0.0,0.0
Elijah Hughes,0.0,0.0,0.0,1.0
Elijah Millsap,0.0,0.0,0.0,1.0
Elliot Williams,0.0,0.0,0.0,0.0
Elton Brand,0.3333333333333333,1.0,0.5,1.0
Emanuel Terry,0.0,0.0,0.0,1.0
Emeka Okafor,0.0,0.0,0.0,1.0
Emmanuel Mudiay,0.16666666666666666,0.5,0.25,2.0
Enes Freedom,0.5,0.3333333333333333,0.4,3.0
Eric Bledsoe,0.0,0.0,0.0,2.0
Eric Gordon,0.0,0.0,0.0,1.0
Eric Maynor,0.0,0.0,0.0,1.0
Eric Mika,0.0,0.0,0.0,0.0
Eric Moreland,0.0,0.0,0.0,1.0
Eric Paschall,0.0,0.0,0.0,1.0
Erick Green,0.0,0.0,0.0,1.0
Ersan Ilyasova,0.0,0.0,0.0,4.0
Evan Fournier,0.0,0.0,0.0,4.0
Evan Mobley,0.0,0.0,0.0,0.0
Evan Turner,0.0,0.0,0.0,2.0
Fab Melo,0.0,0.0,0.0,1.0
Feron Hunt,0.0,0.0,0.0,1.0
Frank Jackson,0.0,0.0,0.0,1.0
Frank Kaminsky,0.0,0.0,0.0,2.0
Frank Mason III,0.0,0.0,0.0,1.0
Frank Ntilikina,0.0,0.0,0.0,3.0
Fred VanVleet,0.2,0.3333333333333333,0.25,3.0
Freddie Gillespie,0.0,0.0,0.0,1.0
Furkan Aldemir,0.0,0.0,0.0,0.0
Furkan Korkmaz,0.0,0.0,0.0,0.0
Gabe Vincent,0.0,0.0,0.0,1.0
Gabe York,0.0,0.0,0.0,1.0
Gabriel Deck,0.0,0.0,0.0,0.0
Gabriel Lundberg,0.0,0.0,0.0,1.0
Gal Mekel,0.0,0.0,0.0,0.0
Garrett Temple,0.4,0.4,0.4000000000000001,5.0
Garrison Mathews,0.0,0.0,0.0,2.0
Gary Harris,0.0,0.0,0.0,3.0
Gary Neal,0.0,0.0,0.0,1.0
Gary Payton II,0.0,0.0,0.0,1.0
Gary Trent Jr.,0.0,0.0,0.0,1.0
George Hill,0.0,0.0,0.0,4.0
George King,0.0,0.0,0.0,0.0
Georges Niang,0.0,0.0,0.0,2.0
Georgios Kalaitzakis,0.0,0.0,0.0,0.0
Georgios Papagiannis,0.0,0.0,0.0,2.0
Gerald Green,0.0,0.0,0.0,1.0
Gerald Henderson,0.0,0.0,0.0,3.0
Gerald Wallace,0.0,0.0,0.0,1.0
Giannis Antetokounmpo,0.75,0.75,0.75,4.0
Gigi Datome,0.0,0.0,0.0,0.0
Glen Davis,0.0,0.0,0.0,1.0
Glen Rice,0.0,0.0,0.0,1.0
Glenn Robinson III,0.0,0.0,0.0,0.0
Goga Bitadze,0.0,0.0,0.0,2.0
Goran Dragic,0.1,0.3333333333333333,0.15384615384615383,3.0
Gordon Hayward,0.0,0.0,0.0,4.0
Gorgui Dieng,0.3333333333333333,0.25,0.28571428571428575,4.0
Grant Hill,0.0,0.0,0.0,0.0
Grant Williams,0.0,0.0,0.0,2.0
Grayson Allen,0.0,0.0,0.0,2.0
Greg Brown III,0.0,0.0,0.0,1.0
Greg Monroe,0.5,1.0,0.6666666666666666,2.0
Greg Oden,0.0,0.0,0.0,1.0
Greg Smith,0.0,0.0,0.0,0.0
Greg Stiemsma,0.0,0.0,0.0,0.0
Greg Whittington,0.0,0.0,0.0,0.0
Greivis Vasquez,0.0,0.0,0.0,0.0
Guerschon Yabusele,0.0,0.0,0.0,1.0
Gustavo Ayon,0.0,0.0,0.0,0.0
Hakim Warrick,0.0,0.0,0.0,0.0
Hamidou Diallo,0.0,0.0,0.0,2.0
Harrison Barnes,0.2222222222222222,0.5,0.30769230769230765,4.0
Harry Giles III,0.5,0.5,0.5,2.0
Hasheem Thabeet,0.0,0.0,0.0,1.0
Hassan Whiteside,0.0,0.0,0.0,3.0
Haywood Highsmith,0.0,0.0,0.0,0.0
Hedo Turkoglu,0.0,0.0,0.0,1.0
Henry Ellenson,0.0,0.0,0.0,1.0
Henry Sims,0.0,0.0,0.0,1.0
Henry Walker,0.0,0.0,0.0,1.0
Herbert Jones,0.0,0.0,0.0,0.0
Hollis Thompson,0.0,0.0,0.0,3.0
Ian Clark,0.0,0.0,0.0,2.0
Ian Mahinmi,0.0,0.0,0.0,0.0
Ignas Brazdeikis,0.0,0.0,0.0,2.0
Iman Shumpert,0.0,0.0,0.0,5.0
Immanuel Quickley,0.0,0.0,0.0,0.0
Isaac Humphries,0.0,0.0,0.0,1.0
Isaac Okoro,0.0,0.0,0.0,2.0
Isaiah Canaan,0.0,0.0,0.0,3.0
Isaiah Hartenstein,0.0,0.0,0.0,1.0
Isaiah Hicks,0.0,0.0,0.0,2.0
Isaiah Jackson,0.0,0.0,0.0,0.0
Isaiah Joe,0.0,0.0,0.0,0.0
Isaiah Livers,0.0,0.0,0.0,1.0
Isaiah Roby,0.0,0.0,0.0,1.0
Isaiah Stewart,0.0,0.0,0.0,3.0
Isaiah Taylor,0.0,0.0,0.0,0.0
Isaiah Thomas,0.0,0.0,0.0,4.0
Isaiah Todd,0.0,0.0,0.0,0.0
Isaiah Whitehead,0.0,0.0,0.0,1.0
Ish Smith,1.0,0.16666666666666666,0.2857142857142857,6.0
Ish Wainright,0.0,0.0,0.0,1.0
Ivan Johnson,0.0,0.0,0.0,0.0
Ivan Rabb,0.0,0.0,0.0,0.0
Ivica Zubac,0.0,0.0,0.0,1.0
J.J. Barea,0.3333333333333333,0.3333333333333333,0.3333333333333333,3.0
J.P. Macura,0.0,0.0,0.0,1.0
JJ Hickson,0.0,0.0,0.0,1.0
JJ Redick,0.5,0.3333333333333333,0.4,3.0
JR Smith,0.0,0.0,0.0,1.0
JT Thor,0.0,0.0,0.0,1.0
Ja Morant,1.0,1.0,1.0,1.0
JaKarr Sampson,1.0,0.5,0.6666666666666666,2.0
JaMychal Green,0.0,0.0,0.0,1.0
JaQuori McLaughlin,0.0,0.0,0.0,1.0
JaVale McGee,0.0,0.0,0.0,7.0
Jabari Bird,0.0,0.0,0.0,1.0
Jabari Parker,0.0,0.0,0.0,2.0
Jack Cooley,0.0,0.0,0.0,0.0
Jack White,0.0,0.0,0.0,1.0
Jacob Gilyard,0.0,0.0,0.0,0.0
Jacob Wiley,0.0,0.0,0.0,0.0
Jaden Ivey,0.0,0.0,0.0,1.0
Jaden McDaniels,0.0,0.0,0.0,0.0
Jae Crowder,0.0,0.0,0.0,1.0
Jae'Sean Tate,0.0,0.0,0.0,1.0
Jahlil Okafor,0.3333333333333333,0.5,0.4,2.0
Jake LaRavia,0.0,0.0,0.0,1.0
Jake Layman,0.0,0.0,0.0,1.0
Jakob Poeltl,0.0,0.0,0.0,2.0
Jalen Brunson,0.0,0.0,0.0,1.0
Jalen Duren,0.0,0.0,0.0,1.0
Jalen Green,0.0,0.0,0.0,2.0
Jalen Jones,0.0,0.0,0.0,2.0
Jalen Lecque,0.0,0.0,0.0,0.0
Jalen McDaniels,0.0,0.0,0.0,2.0
Jalen Smith,0.0,0.0,0.0,1.0
Jalen Suggs,0.0,0.0,0.0,1.0
Jamaal Franklin,0.0,0.0,0.0,2.0
Jamaal Tinsley,0.0,0.0,0.0,1.0
Jamal Cain,0.0,0.0,0.0,1.0
Jamal Crawford,1.0,1.0,1.0,1.0
Jamal Murray,0.0,0.0,0.0,2.0
Jamaree Bouyea,0.0,0.0,0.0,1.0
Jameel Warney,0.0,0.0,0.0,1.0
Jameer Nelson,0.0,0.0,0.0,0.0
James Ennis III,0.0,0.0,0.0,3.0
James Harden,0.75,0.75,0.75,4.0
James Johnson,1.0,0.25,0.4,4.0
James Jones,0.5,0.3333333333333333,0.4,3.0
James Michael McAdoo,0.0,0.0,0.0,0.0
James Nunnally,0.0,0.0,0.0,1.0
James Webb III,0.0,0.0,0.0,0.0
James White,0.0,0.0,0.0,1.0
James Wiseman,0.0,0.0,0.0,0.0
James Young,0.0,0.0,0.0,1.0
Jamil Wilson,0.0,0.0,0.0,0.0
Jamorko Pickett,0.0,0.0,0.0,0.0
Jared Butler,0.0,0.0,0.0,0.0
Jared Dudley,0.0,0.0,0.0,5.0
Jared Harper,0.0,0.0,0.0,1.0
Jared Rhoden,0.0,0.0,0.0,1.0
Jared Sullinger,0.0,0.0,0.0,2.0
Jared Terrell,0.0,0.0,0.0,0.0
Jarell Eddie,0.0,0.0,0.0,2.0
Jarell Martin,0.0,0.0,0.0,0.0
Jaren Jackson Jr.,0.0,0.0,0.0,1.0
Jarnell Stokes,0.0,0.0,0.0,0.0
Jaron Blossomgame,0.0,0.0,0.0,0.0
Jarrell Brantley,0.0,0.0,0.0,1.0
Jarrett Allen,0.0,0.0,0.0,2.0
Jarrett Culver,0.0,0.0,0.0,3.0
Jarrett Jack,0.0,0.0,0.0,0.0
